ksic2,hs6,weight,ksic2_name
2,510529,0.3333333333333333,임업
2,510530,0.3333333333333333,임업
2,510531,0.3333333333333333,임업
2,510539,0.3333333333333333,임업
2,510540,0.3333333333333333,임업
2,520100,0.3333333333333333,임업
2,520210,0.3333333333333333,임업
2,520291,0.3333333333333333,임업
2,520299,0.3333333333333333,임업
2,520300,0.3333333333333333,임업
2,530110,0.3333333333333333,임업
2,530121,0.3333333333333333,임업
2,530129,0.3333333333333333,임업
2,530130,0.3333333333333333,임업
2,530210,0.3333333333333333,임업
2,530290,0.3333333333333333,임업
2,530310,0.3333333333333333,임업
2,530390,0.3333333333333333,임업
2,530410,0.3333333333333333,임업
2,530490,0.3333333333333333,임업
2,530500,0.3333333333333333,임업
2,530511,0.3333333333333333,임업
2,530519,0.3333333333333333,임업
2,530521,0.3333333333333333,임업
2,530529,0.3333333333333333,임업
2,530590,0.3333333333333333,임업
2,530591,0.3333333333333333,임업
2,530599,0.3333333333333333,임업
2,710121,0.3333333333333333,임업
3,010110,0.3333333333333333,어업
3,010111,0.3333333333333333,어업
3,010119,0.3333333333333333,어업
3,010120,0.3333333333333333,어업
3,010121,0.3333333333333333,어업
3,010129,0.3333333333333333,어업
3,010130,0.3333333333333333,어업
3,010190,0.3333333333333333,어업
3,010210,0.3333333333333333,어업
3,010221,0.3333333333333333,어업
3,010229,0.3333333333333333,어업
3,010231,0.3333333333333333,어업
3,010239,0.3333333333333333,어업
3,010290,0.3333333333333333,어업
3,010310,0.3333333333333333,어업
3,010391,0.3333333333333333,어업
3,010392,0.3333333333333333,어업
3,010410,0.3333333333333333,어업
3,010420,0.3333333333333333,어업
3,010511,0.3333333333333333,어업
3,010512,0.3333333333333333,어업
3,010513,0.3333333333333333,어업
3,010514,0.3333333333333333,어업
3,010515,0.3333333333333333,어업
3,010519,0.3333333333333333,어업
3,010591,0.3333333333333333,어업
